time/iterations,time/total_timesteps,time/fps,time/time_elapsed,rew_vec_envs,train/std,train/learning_rate,train/value_loss,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/loss,train/entropy_loss,train/n_updates,train/explained_variance,train/clip_fraction
1,32768,516,63,725.1632652282715,,,,,,,,,,,
2,65536,560,116,819.4391441345215,0.997393786907196,0.001,2811.9600207328795,0.2,-0.007474526001169579,0.014980775,539.21875,-5.644393256306648,10,0.00207674503326416,0.1630340576171875
3,98304,573,171,951.5765724182129,0.9963127970695496,0.001,2882.4178207397463,0.2,-0.0019272276920673903,0.010431547,778.24072265625,-5.651582884043455,20,0.03813052177429199,0.1236541748046875
4,131072,575,227,1005.9930648803711,0.9909036159515381,0.001,2721.5712860107424,0.2,-0.008516401397719165,0.0066274637,1381.9215087890625,-5.647772620618343,30,0.0954851508140564,0.06553955078125
5,163840,577,283,1017.3651123046875,0.9860720038414001,0.001,3191.8055809021,0.2,-0.007836200726887909,0.0065788617,1120.459716796875,-5.627166214585304,40,0.13576167821884155,0.06126708984375
6,196608,574,342,1010.6367416381836,0.982829213142395,0.001,3760.053507614136,0.2,-0.006527423273291788,0.00606914,1568.2574462890625,-5.611902493983507,50,0.11240297555923462,0.054638671875
7,229376,570,401,1122.2063293457031,0.9778716564178467,0.001,3749.5705738067627,0.2,-0.005210505793729681,0.005306937,1388.053466796875,-5.595879717171192,60,0.3351091742515564,0.03306884765625
8,262144,565,463,1288.6912384033203,0.9740739464759827,0.001,4129.334664916993,0.2,-0.004887944649271958,0.0046959436,1402.8326416015625,-5.577772650122642,70,0.46758896112442017,0.0319610595703125
9,294912,559,527,1198.6071548461914,0.9694236516952515,0.001,3522.0176485061647,0.2,-0.00582911301535205,0.005994168,1228.7357177734375,-5.560586805641651,80,0.5465590059757233,0.045062255859375
10,327680,554,590,1297.7295570373535,0.9628304839134216,0.001,3637.2186807632447,0.2,-0.005218716751551255,0.0054290844,1329.426513671875,-5.536867884546519,90,0.6643012464046478,0.0371490478515625
11,360448,551,653,1314.1705894470215,0.9549705982208252,0.001,3185.6447721481322,0.2,-0.005629721402874566,0.0055166394,866.5074462890625,-5.506512049585581,100,0.6933951675891876,0.0384613037109375
12,393216,549,715,1345.7177848815918,0.9473026394844055,0.001,2900.811594200134,0.2,-0.005918973195366562,0.0053766044,966.2265625,-5.47216444760561,110,0.7500831186771393,0.0408355712890625
13,425984,548,776,1486.3642044067383,0.9422736167907715,0.001,2952.513524436951,0.2,-0.005721574155177223,0.004877053,851.5648803710938,-5.444127783179283,120,0.7803409397602081,0.0367431640625
14,458752,546,839,1390.823860168457,0.9287475347518921,0.001,3527.0774711608888,0.2,-0.005736785111366771,0.005580453,789.8472900390625,-5.399189184606075,130,0.7519934773445129,0.039642333984375
15,491520,543,904,1343.7718124389648,0.9201022982597351,0.001,2731.225846862793,0.2,-0.005444285633348045,0.005531503,644.177978515625,-5.353341688960791,140,0.8134941607713699,0.03931884765625
16,524288,541,969,1417.227123260498,0.9106992483139038,0.001,1963.9698031425476,0.2,-0.006444691649812739,0.006882339,685.1192016601562,-5.307662045955658,150,0.859923467040062,0.049969482421875
